GVF,PR,RE,NU
0.617841,0.318113,4.65807,6.3657
0.617841,0.318113,4.65807,6.3657
0.619341,0.389759,5.74206,6.60135
0.619341,0.389759,5.74206,6.60135
0.620691,0.395959,5.86592,6.60543
0.620691,0.395959,5.86592,6.60543
0.619647,0.396394,5.8836,6.61164
0.619647,0.396394,5.8836,6.61164
0.616283,0.392704,5.81887,6.62572
0.616283,0.392704,5.81887,6.62572
0.612136,0.386136,5.70288,6.63682
0.612136,0.386136,5.70288,6.63682
0.608845,0.377777,5.57408,6.63467
0.608845,0.377777,5.57408,6.63467
0.606412,0.367415,5.41876,6.6194
0.606412,0.367415,5.41876,6.6194
0.602651,0.355263,5.21638,6.61195
0.602651,0.355263,5.21638,6.61195
0.597265,0.343777,5.00301,6.62081
0.597265,0.343777,5.00301,6.62081
0.592215,0.335125,4.83101,6.63738
0.592215,0.335125,4.83101,6.63738
0.588232,0.33015,4.71998,6.65673
0.588232,0.33015,4.71998,6.65673
0.584618,0.328364,4.66351,6.68179
0.584618,0.328364,4.66351,6.68179
0.582746,0.328802,4.663,6.69753
0.582746,0.328802,4.663,6.69753
0.582437,0.330155,4.6923,6.70218
0.582437,0.330155,4.6923,6.70218
0.582592,0.330738,4.70929,6.70028
0.582592,0.330738,4.70929,6.70028
0.580623,0.329867,4.68287,6.71415
0.580623,0.329867,4.68287,6.71415
0.578857,0.329603,4.6655,6.72724
0.578857,0.329603,4.6655,6.72724
0.579271,0.329718,4.67835,6.72147
0.579271,0.329718,4.67835,6.72147
0.580737,0.328958,4.68477,6.70357
0.580737,0.328958,4.68477,6.70357
0.581499,0.327875,4.68202,6.69031
0.581499,0.327875,4.68202,6.69031
0.582132,0.326672,4.67215,6.67831
0.582132,0.326672,4.67215,6.67831
0.583044,0.325091,4.66305,6.66059
0.583044,0.325091,4.66305,6.66059
0.583129,0.323807,4.65632,6.65482
0.583129,0.323807,4.65632,6.65482
0.584484,0.323923,4.67472,6.64313
0.584484,0.323923,4.67472,6.64313
0.586742,0.324394,4.70168,6.62412
0.586742,0.324394,4.70168,6.62412
0.587711,0.324256,4.70442,6.61463
0.587711,0.324256,4.70442,6.61463
0.587726,0.323432,4.69147,6.61108
0.587726,0.323432,4.69147,6.61108
0.586521,0.322093,4.65896,6.61656
0.586521,0.322093,4.65896,6.61656
0.585473,0.321463,4.63989,6.62438
0.585473,0.321463,4.63989,6.62438
0.585431,0.322506,4.65899,6.62848
0.585431,0.322506,4.65899,6.62848
0.585535,0.324784,4.69832,6.63456
0.585535,0.324784,4.69832,6.63456
0.586154,0.32807,4.76434,6.6368
0.586154,0.32807,4.76434,6.6368
0.586861,0.330932,4.824,6.6405
0.586861,0.330932,4.824,6.6405
0.587131,0.333136,4.86247,6.64483
0.587131,0.333136,4.86247,6.64483
0.58655,0.335802,4.90392,6.65885
0.58655,0.335802,4.90392,6.65885
0.58823,0.339248,4.96947,6.65307
0.58823,0.339248,4.96947,6.65307
0.591958,0.343079,5.06672,6.62972
0.591958,0.343079,5.06672,6.62972
0.592625,0.345517,5.12778,6.62876
0.592625,0.345517,5.12778,6.62876
0.591886,0.345695,5.13114,6.63211
0.591886,0.345695,5.13114,6.63211
0.591023,0.344576,5.11645,6.6339
0.591023,0.344576,5.11645,6.6339
0.588506,0.341929,5.06545,6.64552
0.588506,0.341929,5.06545,6.64552
0.586243,0.338556,4.99873,6.6548
0.586243,0.338556,4.99873,6.6548
0.584805,0.336739,4.95771,6.66102
